L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.769049,0.888147,0.890607,0.844451,0.870116,1.050011,1.067057,1.035554,0.529743,0.531741,0.574525,0.609855,0.445607,0.472032,0.437523,0.389913,0.232892,0.088654,0.085096,0.102849,0.073609,0.062179,0.060673,0.044196
0.773935,0.89578,0.898223,0.851811,0.867009,1.046878,1.063911,1.0324,0.529741,0.532372,0.575138,0.610398,0.445608,0.472023,0.437517,0.389898,0.229163,0.087254,0.083858,0.100909,0.073639,0.062151,0.060622,0.044165
0.778942,0.903539,0.905979,0.859306,0.863908,1.043748,1.060769,1.029248,0.529807,0.533005,0.57576,0.610951,0.445602,0.472013,0.437508,0.38988,0.225273,0.085811,0.082577,0.098884,0.073672,0.062123,0.060572,0.044134
0.784075,0.911421,0.913872,0.866932,0.860813,1.04062,1.057632,1.026097,0.529941,0.533642,0.576389,0.611513,0.44559,0.472001,0.437498,0.38986,0.221233,0.084335,0.081265,0.096785,0.073707,0.062096,0.060523,0.044101
0.789337,0.919423,0.921898,0.874685,0.857725,1.037496,1.054498,1.022948,0.530143,0.534285,0.577027,0.612085,0.445573,0.471987,0.437484,0.389837,0.217057,0.082838,0.079932,0.094624,0.073744,0.062071,0.060475,0.044066
0.79473,0.927542,0.930049,0.882558,0.854642,1.034373,1.051369,1.0198,0.53041,0.534935,0.577674,0.612666,0.44555,0.47197,0.437469,0.389811,0.212758,0.081329,0.078589,0.092414,0.073782,0.062048,0.060428,0.044031
0.800254,0.93577,0.938318,0.890546,0.851564,1.031253,1.048243,1.016653,0.53074,0.535594,0.57833,0.613258,0.445523,0.471952,0.437451,0.389783,0.208349,0.079818,0.077243,0.09017,0.07382,0.062026,0.060381,0.043995
0.805907,0.9441,0.946696,0.898644,0.848489,1.028136,1.04512,1.013507,0.531126,0.536263,0.578993,0.613862,0.445495,0.471931,0.437431,0.389752,0.203846,0.078314,0.075906,0.087903,0.073857,0.062005,0.060333,0.043958
0.811686,0.952524,0.955172,0.906843,0.845416,1.025021,1.042,1.01036,0.531561,0.536941,0.579664,0.614477,0.445467,0.471907,0.437409,0.38972,0.199261,0.076826,0.074584,0.085628,0.07389,0.061985,0.060286,0.04392
0.817584,0.961031,0.963736,0.915138,0.842341,1.021909,1.038882,1.007214,0.532037,0.537626,0.580341,0.615103,0.445445,0.471881,0.437386,0.389685,0.194608,0.075361,0.073287,0.083357,0.073919,0.061968,0.060237,0.043881
